"","x","label","type","author","title","journal","year","volume","url","abstract","publisher","language","keywords","issn","doi","issue","address","edition","editor","pages","citation","screened_titles","notes","screened_abstracts"
"1",7,"Kumar_2021_EcolIndi","ARTICLE","Kumar, M. and Kalra, N. and Singh, H. and Sharma, S. and Singh Rawat, P. and Kumar Singh, R. and Kumar Gupta, A. and Kumar, P. and Ravindranath, N.H.","Indicator-based vulnerability assessment of forest ecosystem in the Indian Western Himalayas: An analytical hierarchy process integrated approach","Ecological Indicators",2021,"125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102446077&doi=10.1016%2fj.ecolind.2021.107568&partnerID=40&md5=c693fc421e0aa29c7be18d9c3e86ff2f","Understanding the vulnerability of forests and its associated factors is crucial for the sustainable management of forested landscapes. The assessment of vulnerability of forests in the Indian Western Himalayan (IWH) region comprising the states of Jammu & Kashmir (J&K), Himachal Pradesh (HP) and Uttarakhand (UK) was done using six indicators of vulnerability in the form of biological richness index, disturbance index, forest canopy density, fire point intensity and forest extraction intensity of fringe forests. We express this assessment as the indicator-based vulnerability. The indicators were allocated weights by multi criteria analysis using analytical hierarchy process. The spatial extent of all of the selected indicators was mapped for the IWH region at a pixel resolution of 24 m and was integrated to find out the vulnerability for each pixel in a GIS environment. The study area was divided into 172 grids of size 0.5, equivalent to the grid size of available climatic projections, out of which 67 grids were identified as the forest grids. The grids that have at least 5% forest cover were designated as the forest grids and the vulnerability assessment was done only for these grids. The final representation of vulnerability across forested grids of the IWH was done at a spatial resolution of 5' and 0.5 to categorise as low, medium, high and very high class. It was observed that the highest concentration of very high and high vulnerable grids of 5' size lies in the state of UK, comprising 32 and 31%, respectively. The aggregated values at 0.5 indicate that most of the grids of UK fall under very high vulnerability except for the few uppermost and lowermost grids falling under other categories. In J&K, most of the 5' grids fall under low vulnerability (41%), while medium, high and very high categories are 27, 25 and 7%, respectively. Similarly, out of total 28 grids of size 0.5, only one grid is categorized as very high vulnerable, while 11 grids fall under high vulnerability. In HP, none of the grids of either size is categorized as very high vulnerable. It was observed that most of the high and very high vulnerable grids in the IWH are in the lower altitudes while higher altitudes have lesser magnitude of vulnerability. Forests occurring at a higher elevation such as the Alpine forests (dry, moist and sub-alpine) is the least vulnerable forests compared to other forest type groups of the IWH. 2021 The Authors","Elsevier B.V.","English","Deforestation;  Ecosystems;  Extraction;  Fires;  Image resolution;  Pixels;  Sustainable development, Analytical Hierarchy Process;  Disturbance index;  Forest ecosystem;  Forest fires;  Forest resource extraction;  Integrated approach;  Sustainable management;  Vulnerability;  Vulnerability assessments;  Western himalayas, Climate change, alpine environment;  analytical hierarchy process;  environmental disturbance;  forest canopy;  forest cover;  forest ecosystem;  GIS;  pixel;  spatial resolution;  vulnerability, Himachal Pradesh;  Himalayas;  India;  Jammu and Kashmir;  Uttarakhand, Indicator indicator","1470160X","10.1016/j.ecolind.2021.107568",NA,NA,NA,NA,NA,"Indicator-Based Vulnerability Assessment of Forest Ecosystem in the Indian Western Himalayas: An Analytical Hierarchy Process Integrated Approach.","selected",NA,"selected"
"2",8,"Purohit_2021_TropEcol","ARTICLE","Purohit, S. and Aggarwal, S.P. and Patel, N.R.","Estimation of forest aboveground biomass using combination of Landsat 8 and Sentinel-1A data with random forest regression algorithm in Himalayan Foothills","Tropical Ecology",2021,"62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101485946&doi=10.1007%2fs42965-021-00140-x&partnerID=40&md5=4ff9c794ac9562c15b6d752709471782","Forest aboveground biomass (AGB) plays an indispensable role in the terrestrial carbon cycle and its dynamics. It also provides baseline data for developing sustainable management strategies in the region. In the present study, a decision-tree based random forest (RF) algorithm was used to estimate AGB for the different forest types in Doon valley, situated in the Himalayan foothills of India. Fifty-one spectral and textural variables were initially extracted using Landsat 8 Operational Land Imager and Sentinel-1A, which were further reduced to twenty optimum variables using the recursive feature elimination (RFE) method. These optimum variables were finally used to map AGB. Results showed that the spatial distribution of AGB ranged from 46.36 to 596.15Mgha1 with good correlation (R2 = 0.87, RMSEr = 18.7%, RMSE = 62.56Mgha1) between the observed and predicted AGB. This study validated the synergistic use of remote sensing, field data, and RF algorithm to precisely predict the spatial distribution of AGB. 2021, International Society for Tropical Ecology.","Springer","English","aboveground biomass;  algorithm;  carbon cycle;  estimation method;  Landsat;  management practice;  satellite data;  Sentinel;  spatial distribution;  strategic approach;  sustainable development, Himalayas;  India","05643295","10.1007/s42965-021-00140-x","2",NA,NA,NA,"288-300","Estimation of Forest Aboveground Biomass using Combination of Landsat 8 and Sentinel-1a Data with Random Forest Regression Algorithm in Himalayan Foothills.","selected",NA,"selected"
"3",22,"Kaur_2021_Sust.Swi","ARTICLE","Kaur, T. and Sehgal, S.K. and Singh, S. and Sharma, S. and Dhaliwal, S.S. and Sharma, V.","Assessment of seasonal variability in soil nutrients and its impact on soil quality under different land use systems of lower shiwalik foothills of himalaya, india","Sustainability (Switzerland)",2021,"13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100294652&doi=10.3390%2fsu13031398&partnerID=40&md5=8edb94008bc81ee14c2f220cd33299ee","The present study was conducted to investigate the seasonal effects of five land use systems (LUSs), i.e., wheatrice (Triticum aestivumOryza sativa) system, sugarcane (Saccharum officinarum), orange (Citrus sinensis) orchard, safeda (Eucalyptus globules) forest, and grassland, on soil quality and nutrient status in the lower Satluj basin of the Shiwalik foothills Himalaya, India. Samples were analyzed for assessment of physico-chemical properties at four soil depths, viz., 015, 1530, 3045, and 4560 cm. A total of 120 soil samples were collected in both the seasons. Soil texture was found to be sandy loam and slightly alkaline in nature. The relative trend of soil organic carbon (SOC), macro-and micro-nutrient content for the five LUSs was forest > orchard > grassland > wheatrice > sugarcane, in the pre-and post-monsoon seasons. SOC was highly correlated with macronutrients and micronutrients, whereas SOC was negatively correlated with soil pH (r = 0.818). The surface soil layer (015 cm) had a significantly higher content of SOC, and macro-and micro-nutrients compared to the sub-surface soil layers, due to the presence of more organic content in the soil surface layer. Tukeys multiple comparison test was applied to assess significant difference (p <0.05) among the five LUSs at four soil depths in both the seasons. Principle component analysis (PCA) identified that SOC and electrical conductivity (EC) were the most contributing soil indicators among the different land use systems, and that the post-monsoon season had better soil quality compared to the pre-monsoon season. These indicators helped in the assessment of soil health and fertility, and to monitor degraded agroecosystems for future soil conservation. 2021 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG","English","agricultural ecosystem;  assessment method;  crop plant;  land use;  organic carbon;  physicochemical property;  sandy loam;  seasonal variation;  soil carbon;  soil nutrient;  soil quality;  soil texture;  trace element, Himalayas;  India, Citrus sinensis;  Eucalyptus;  Oryza sativa;  Saccharum officinarum;  Triticum;  Varanidae","20711050","10.3390/su13031398","3",NA,NA,NA,"1-16","Assessment of Seasonal Variability in Soil Nutrients and Its Impact on Soil Quality under Different Land Use Systems of Lower Shiwalik Foothills of Himalaya, India.","selected",NA,"selected"
"4",23,"Watham_2021_EnvMonandAss","ARTICLE","Watham, T. and Padalia, H. and Srinet, R. and Nandy, S. and Verma, P.A. and Chauhan, P.","Seasonal dynamics and impact factors of atmospheric CO2 concentration over subtropical forest canopies: observation from eddy covariance tower and OCO-2 satellite in Northwest Himalaya, India","Environmental Monitoring and Assessment",2021,"193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100420450&doi=10.1007%2fs10661-021-08896-4&partnerID=40&md5=f8b8d01c9effbe401a73d1054d1cb54e","Carbon dioxide (CO2) is the key atmospheric gas that controls the earths greenhouse effect, and forests play a major role in abating the atmospheric CO2 by storing carbon as biomass. Therefore, it is vital to understand the role of different forests in regulating the spatiotemporal dynamics of atmospheric CO2 concentration. In this study, we have used eddy covariance (EC) tower-based atmospheric CO2 concentration measurements and satellite-retrieved column average CO2 concentration of 2018 to understand the diurnal and seasonal dynamics of atmospheric CO2 concentration over the sub-tropical forest in the foothills of northwest Himalaya, Uttarakhand, India. EC study revealed that the CO2 concentration over the forest canopy peaks during mid-night to early morning and drop to a minimum during the afternoon. On a monthly scale, peak atmospheric CO2 concentration was observed during July in both the sites, which was a result of more release of CO2 by the forest ecosystem through ecosystem respiration and microbial decomposition. Enhanced photosynthetic activities during the late monsoon and post-monsoon resulted in the decrease of atmospheric CO2 concentration over the forest ecosystem. Among the meteorological variables, rainfall was found to have the highest control over the seasonal variability of the atmospheric CO2 concentration. Orbiting Carbon Observatory-2 (OCO-2) satellite-retrieved column average CO2 (XCO2) was also examined to comprehend its reliability on an ecosystem scale. The OCO-2 retrieved XCO2 value was higher than the EC carbon flux tower-measured atmospheric CO2 concentration, which might be due to differences in the vertical resolution of the CO2 column and scale difference. However, the monthly atmospheric XCO2 retrieved from OCO-2 strongly adheres with the ground-measured monthly pattern. Our study highlights that forests with varying functional traits within the same climatic conditions show variability in the regulation of atmospheric CO2 concentration. 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG part of Springer Nature.","Springer Science and Business Media Deutschland GmbH","English","Atmospheric thermodynamics;  Dynamics;  Ecosystems;  Forestry;  Greenhouse effect;  Orbits;  Satellites;  Tropics, Ecosystem respiration;  Eddy covariance towers;  Meteorological variables;  Microbial decomposition;  Photosynthetic activity;  Seasonal variability;  Spatio-temporal dynamics;  Subtropical forests, Carbon dioxide, atmospheric pollution;  broad-leaved forest;  carbon cycle;  carbon dioxide;  concentration (composition);  deciduous forest;  eddy covariance;  forest canopy;  greenhouse gas;  NDVI;  seasonal variation;  subtropical region, Himalayas;  India, carbon dioxide, ecosystem;  environmental monitoring;  forest;  India;  reproducibility;  season, Carbon Dioxide;  Ecosystem;  Environmental Monitoring;  Forests;  India;  Reproducibility of Results;  Seasons","01676369","10.1007/s10661-021-08896-4","2",NA,NA,NA,NA,"Seasonal Dynamics and Impact Factors of Atmospheric Co2 Concentration over Subtropical Forest Canopies: Observation from Eddy Covariance Tower and Oco-2 Satellite in Northwest Himalaya, India.","selected",NA,"selected"
"5",66,"Watham_2020_Biog","ARTICLE","Watham, T. and Srinet, R. and Nandy, S. and Padalia, H. and Sinha, S.K. and Patel, N.R. and Chauhan, P.","Environmental control on carbon exchange of natural and planted forests in Western Himalayan foothills of India","Biogeochemistry",2020,"151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096211406&doi=10.1007%2fs10533-020-00727-x&partnerID=40&md5=c6fb61f9e3ba937a9baf0d02228d9506","India has committed to increase carbon sequestration by forests under the Nationally Determined Contributions (NDC). However, the CO2 carbon exchange characteristics (Gross Primary Productivity, Net Ecosystem Exchange, and Ecosystem respiration) of Indian forests are poorly understood. Immense carbon sequestration opportunities exist with the natural as well as planted forests. Therefore, it becomes vital to assess the potential of existing forests (natural and planted) by means of the most accurate and reliable methods of eddy covariance (EC). It is also important to know the eco-physiological response of the forests towards diurnal, seasonal, and yearly changes in the prevailing environmental conditions. We analyzed CO2 carbon exchange characteristics of a mature moist deciduous forest and a young mixed deciduous plantation located in the sub-tropical climate regime in the western Himalayan foothills of India with the help of co-located EC measurements (2016 to 2018). The study reveals that both the mature forest ( 719.43 gCm 2year 1) and young plantation ( 467.49 gC m 2 year 1) are absorbing a significant amount of atmospheric CO2 carbon. The maximum uptake of atmospheric CO2 occurred during the post-monsoon season in both the forests. The minimum NEE of the mixed deciduous plantation was observed during the leaf fall period while the NEE of the moist deciduous forest was the lowest in monsoon due to a higher respiration rate during monsoon. Among the environmental factors, soil moisture showed maximum control on the productivity of both the forest ecosystems. The value reported in this study can help Forest Survey of India in establishing/assessing emission factor for these particular forest types. This study can also help forest managers in carbon assessment of plantation under NDC. 2020, Springer Nature Switzerland AG.","Springer Science and Business Media Deutschland GmbH","English","canopy exchange;  carbon dioxide;  carbon sequestration;  deciduous forest;  diurnal variation;  eddy covariance;  leaf litter;  plantation;  seasonality;  soil respiration, Himalayas;  India","01682563","10.1007/s10533-020-00727-x","2-3",NA,NA,NA,"291-311","Environmental Control on Carbon Exchange of Natural and Planted Forests in Western Himalayan Foothills of India.","selected",NA,"selected"
"6",89,"Roy_2020_PalaPalaPala","ARTICLE","Roy, B. and Ghosh, S. and Sanyal, P.","Impact of monsoon, vegetation, and landscape on pedogenesis: A case study using organic and inorganic tracers from the Himalayan foreland sediments","Palaeogeography, Palaeoclimatology, Palaeoecology",2020,"556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087387184&doi=10.1016%2fj.palaeo.2020.109854&partnerID=40&md5=a36a81f37c0c94f17ff4a1e8d688d33e","The physical and chemical properties of paleosols are widely used to explain their genesis. However, the physical attributes of paleosols subjected to burial cannot be used for paleoenvironmental reconstructions. In contrast, selective pedogenic tracers such as rare earth (REE) and trace elements, and organic proxies such as pristane/phytane (Pr/Ph) ratios, and D/H and 13C/12C ratios of n-alkanes that are resistant to post-depositional processes can provide insight into pedogenic conditions. Although the upper Miocene Siwalik paleosols from the Himalayan Foreland Basin (HFB) have been used for past vegetation and climate reconstructions, little emphasis has been given to understand their formation. In this regard, the Jabbarkhad Siwaliks of the Kangra sub-basin, identified as distal alluvial fan deposits with records of temporal variability in rainfall and vegetation composition, have been used to investigate the combined impact of depositional environment, topography, climate and vegetation composition on paleosol formation. Prominent negative Eu-anomalies in CI-normalised REE patterns along with uniform ratios of refractory elements suggest a dominant and consistent source of sediments from K-rich granitic upper continental crust. A wide variation in the abundance of REE indicates the modification of sediments by pedogenetic processes. In the Jabbarkhad region, oxic (higher Pr/Ph) and well-drained soils favoured the proliferation of grasses. The high root density and organic turnover of grasses facilitated the development of a mature, strongly leached soil (high Ba/Sr) under high rainfall and humid conditions (lower 2 values). Less mature (lower Ba/Sr) paleosols were developed in low-lying anoxic (Pr/Ph &lt;1) floodplain areas dominated by C3 trees near the active channel. Comparison of soil maturity from the Gangetic floodplain, a modern analogue of the Siwalik sediments, suggests that the spatial variability of paleosol maturity was controlled by the landscape mosaic of the Siwalik floodplain. Since pedogenesis and vegetation distribution are controlled by floodplain morphology, sampling of paleosols with similar pedogenic and geomorphic characteristics is essential for evaluation of vegetation distribution in temporally separated paleosols. 2020 Elsevier B.V.","Elsevier B.V.","English","alluvial fan;  foreland basin;  Miocene;  monsoon;  paleoclimate;  paleosol;  pedogenesis;  rare earth element;  sediment analysis;  trace element;  tracer;  vegetation structure, Gangetic Plain;  Himachal Pradesh;  Himalayas;  India;  Kangra;  Siwalik Hills, Poaceae","00310182","10.1016/j.palaeo.2020.109854",NA,NA,NA,NA,NA,"Impact of Monsoon, Vegetation, and Landscape on Pedogenesis: a Case Study using Organic and Inorganic Tracers from the Himalayan Foreland Sediments.","selected",NA,"selected"
"7",90,"Bajpai_2020_PotNAoSISB.BS","ARTICLE","Bajpai, O. and Dutta, V. and Singh, R. and Chaudhary, L.B. and Pandey, J.","Tree Community Assemblage and Abiotic Variables in Tropical Moist Deciduous Forest of Himalayan Terai Eco-Region","Proceedings of the National Academy of Sciences India Section B - Biological Sciences",2020,"90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077197039&doi=10.1007%2fs40011-019-01161-2&partnerID=40&md5=9f29303469d1845659944f235d9a95f7","The Himalayan foothills in northern India form one of the distinct eco-climatic regions of the world which affect plant communities. This study aims to analyse tree community assemblage along with associated abiotic variables in the tropical moist deciduous forests of Dudhwa National Park (DNP) in the Terai region. The cluster and non-metric multidimensional scaling (nMDS) analyses grouped the forests of DNP into five major forest types: Sal miscellaneous forest (SMF), Sal-Asna miscellaneous forest (SAMF), low-land miscellaneous forest (LMF), teak plantation (TP) and eucalyptus plantation (EP). Each forest type has its specific species composition and dominance. A sum of 23 site-specific tree species have been found to grow in the study area, with the maximum 14 site-specific species from the SMF followed by LMF and TP with seven and two species, respectively. The nMDS and Pearsons correlation reveal that the different forest communities in Dudhwa National Park are characterized by the variations in abiotic variables (i.e. total organic nitrogen, TON; electrical conductivity, EC; soil bulk density, BD; soil porosity, SP; available phosphorous, P; potassium ion, K; and water holding capacity, WHC; air temperature, AT; and absolute air humidity, AAH). The study also reported 23 site-specific species, which require proper conservation measures due to their low ecological amplitude and narrow range of distribution. 2020, The National Academy of Sciences, India.","Springer","English",NA,"03698211","10.1007/s40011-019-01161-2","4",NA,NA,NA,"873-883","Tree Community Assemblage and Abiotic Variables in Tropical Moist Deciduous Forest of Himalayan Terai Eco-Region.","selected",NA,"selected"
"8",91,"Neha_2020_AgroSyst","ARTICLE","Neha and Bhople, B.S. and Sharma, S.","Seasonal variation of rhizospheric soil properties under different land use systems at lower Shivalik foothills of Punjab, India","Agroforestry Systems",2020,"94","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086787248&doi=10.1007%2fs10457-020-00512-7&partnerID=40&md5=47f73adc6ec6bc6eb2f2e7f2b39f9ea3","The rhizosphere is the unique hotspot that is highly influenced by plant roots and characterized by higher microbial activity and nutrient availability. Land uses modify the rhizospheric soil properties through the stimulatory effects of various root exudates and soil nutrients. The present work was aimed to study rhizosphere soil properties under different land use systems at Ballowal Saunkhri watershed in Punjab state, India. For this study, soil samples were collected from three land use systems (horticulture, farm forest and cropland) at four depths, viz. 015, 1530, 3060 and 6090cm during pre-rainy and post-rainy seasons. The results indicated that farm forestry system had significantly higher soil organic carbon (SOC), cation exchange capacity, micronutrient cations (Zn, Fe, Cu, Mn) and microbial properties (total microbial count, microbial biomass carbon, basal soil respiration, dehydrogenase activity, alkaline phosphatase activity and microbial quotient) compared with other land use systems. However, bulk density, available phosphorus, available potassium and metabolic quotient were observed higher under cropland system. The principle component analysis identified that SOC and available potassium were the most contributing and reliable variables for assessing soil quality for different land use systems. 2020, Springer Nature B.V.","Springer Science+Business Media B.V.","English","agricultural land;  bulk density;  enzyme activity;  land use change;  microbial community;  rhizosphere;  seasonal variation;  soil microorganism;  soil organic matter;  soil respiration, India;  Punjab [India];  Siwalik Hills","01674366","10.1007/s10457-020-00512-7","5",NA,NA,NA,"1959-1976","Seasonal Variation of Rhizospheric Soil Properties under Different Land Use Systems at Lower Shivalik Foothills of Punjab, India.","selected",NA,"selected"
"9",135,"Singh_2020_InJoofEc","ARTICLE","Singh, D. and Negi, A.K. and Purohit, J.C.","Effect of environmental factors on phenology of wild species of anacardiaceae in Garhwal Himalaya","Indian Journal of Ecology",2020,"47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086234696&partnerID=40&md5=bcb15e6ad0faf99037cfc4e73eb0e2aa","The aim of present study was to describe the phenology of five trees (Buchnania lanzan Spreng., Pistacia khinjuk Stocks, Semecarpus anacardium L.f., Lannea coromandelica (Houtt.) Merr, Spondias pinnata (L.f. Kurz) and two shrub (Rhus parvifora Roxb., Continus coggygria Scop) species of Anacardiaceae family in sub-montane forest of Lansdowne Forest Division in Uttarakhand. The phenological events of these species were recorded in order to determine the relationship between environmental factors (temperature and precipitation) and phonological events. The main branches and sub-branches of individuals of each species were randomly selected and marked with metal tags to represent the whole canopy from January, 2017 to December, 2018. The data was analyzed with the help of circular statistics and Spearman's rank correlation. The result showed that leaf bud initiation start from February and peaks in May. Young leaves start expanded in April and peaks in July, whereas leaf senescence starts in August. Leaf fall starts from September and peaks in November. Flower/flowering bud starts from February to March and turns into flower in April. Ripening of fruits starts from April and peaks in May while fruit fall occurs in May and peaks in June. It is concluded that environmental factors play important role in timing and recurring of phenophase events in all the species. However, seasonality in vegetative and reproductive phase shows that each phenophase event indicates the circular pattern at different time scale. 2020 Ecological Society of India. All rights reserved.","Ecological Society of India","English",NA,"03045250",NA,"2",NA,NA,NA,"456-461","Effect of Environmental Factors on Phenology of Wild Species of Anacardiaceae in Garhwal Himalaya.","selected",NA,"selected"
"10",147,"Dasila_2020_ApplSoilEcol","ARTICLE","Dasila, K. and Pandey, A. and Samant, S.S. and Pande, V.","Endophytes associated with Himalayan silver birch (Betula utilis D. Don) roots in relation to season and soil parameters","Applied Soil Ecology",2020,"149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078023557&doi=10.1016%2fj.apsoil.2020.103513&partnerID=40&md5=09455a2d4c7cca51b3f716f9cc10d089","Biological processes in soil are driven and mediated by root and soil microbiome (microbial communities) and are sensitive to many environmental variations. Soil microbial communities compete for nutrient and space and form mutualistic associations with host plants. Rhizosphere, the connecting site of plant roots with soil, influences the soil health and plant-microbe interactions. Soil enzyme activity, which is considered to be the biological indicator of soil health, is significantly influenced by microbial functioning. Betula utilis D. Don is a dominant treeline forming species that has been extensively studied for the impact of climate-mediated variations in sub-alpine Himalayan region. However, the microbial ecology of this species remains almost unexplored. Therefore, the present study aims to assess the endophytic communities associated with B. utilis roots along with the status of enzymes, nutrients, and microbial communities in rhizosphere soil in two seasons from three sites in North-Western Himalaya. Activity of soil enzymes (acid and alkaline phosphatase, aryl sulfatase, -glucosidase, urease and dehydrogenase) varied statistically with respect to seasons. Except dehydrogenase, the soil enzymes activity correlated with pH, organic carbon, and phosphorus content in soil. High dehydrogenase activity is attributed to high microbial activity in dormant season. B. utilis roots were found to be colonized with a range of microbial communities namely, mycorrhizae, dark septate endophytes (DSE), bacterial endophytes and unidentified nematode like structures (NLS). While, in general, DSE colonization was higher during growing season, mycorrhizae dominated the roots during dormant season. Significant differences were obtained only in mycorrhizal colonization with respect to seasons and sites. Further, significant correlations were obtained among soil nutrients, enzyme activity, and microbial counts during growing season. B. utilis roots exerted negative rhizosphere effect on microbial communities. The study will have implications in understanding plant-microbe interactions under sub-alpine Himalayan region. 2020","Elsevier B.V.","English",NA,"09291393","10.1016/j.apsoil.2020.103513",NA,NA,NA,NA,NA,"Endophytes Associated with Himalayan Silver Birch (Betula Utilis D. Don) Roots in Relation to Season and Soil Parameters.","unknown",NA,"selected"
