"","label","journal","year","title","doi"
"1","Mishra_JOOFTHINSOOFRESE","JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING",2020,NA,NA
"2","Bargali_1993_JoofVeSc","Journal of Vegetation Science",1993,"Changes in soil characteristics in eucalypt plantations replacing natural broadleaved forests","10.2307/3235730"
"3","Lodhiyal_2003_ForEcoandMan","Forest Ecology and Management",2003,"Biomass and net primary productivity of Bhabar Shisham forests in central Himalaya, India","10.1016/S0378-1127(02)00267-0"
"4","Rana_1988_ProcPlanScie","Proceedings: Plant Sciences",1988,"Biomass structure and net primary production of Siwalik chir pine (Pinus roxburghii Sarg.)-mixed broadleaf forest","10.1007/BF03053803"
"5","Areendran_2017_TropEcol","Tropical Ecology",2017,"Land use and land cover change analysis for Kosi river wildlife corridor in Terai Arc landscape of Northern India: Implications for future management",NA
"6","Singh_1995_Vege","Vegetatio",1995,"Analysis of woody vegetation of Corbett National Park, India","10.1007/BF00033459"
"7","Joshi_2011_BioandCon","Biodiversity and Conservation",2011,"Assessing impact of forest landscape dynamics on migratory corridors: A case study of two protected areas in Himalayan foothills","10.1007/s10531-011-0123-z"
"8","Singh_2020_InJoofEc","Indian Journal of Ecology",2020,"Effect of environmental factors on phenology of wild species of anacardiaceae in Garhwal Himalaya",NA
"9","Kumar_2019_EnvMonandAss","Environmental Monitoring and Assessment",2019,"Does spatial heterogeneity of landscape explain the process of plant invasion? A case study of Hyptis suaveolens from Indian Western Himalaya","10.1007/s10661-019-7682-y"
"10","Sharma_2010_ForEcoandMan","Forest Ecology and Management",2010,"Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India","10.1016/j.foreco.2010.09.014"
"11","Kimothi_2010_INJOOFRESE","INTERNATIONAL JOURNAL OF REMOTE SENSING",2010,"Methodology to map the spread of an invasive plant (Lantana camara L.) in forest ecosystems using Indian remote sensing satellite data","10.1080/01431160903121126"
"12","Vasudeva_2021_INJOOFRESE","INTERNATIONAL JOURNAL OF REMOTE SENSING",2021,"Mapping spatial variability of foliar nitrogen and carbon in Indian tropical moist deciduous sal (Shorea robusta) forest using machine learning algorithms and Sentinel-2 data","10.1080/01431161.2020.1823043"
"13","Watham_2020_Biog","Biogeochemistry",2020,"Environmental control on carbon exchange of natural and planted forests in Western Himalayan foothills of India","10.1007/s10533-020-00727-x"
"14","Watham_2021_EnvMonandAss","Environmental Monitoring and Assessment",2021,"Seasonal dynamics and impact factors of atmospheric CO2 concentration over subtropical forest canopies: observation from eddy covariance tower and OCO-2 satellite in Northwest Himalaya, India","10.1007/s10661-021-08896-4"
"15","Mandal_2015_ForSciandTec","Forest Science and Technology",2015,"Eco-physiology and habitat invasibility of an invasive, tropical shrub (Lantana camara) in western Himalayan forests of India","10.1080/21580103.2014.990062"
"16","Sanyal_2005_PalaPalaPala","Palaeogeography, Palaeoclimatology, Palaeoecology",2005,"Palaeovegetational reconstruction in Late Miocene: A case study based on early diagenetic carbonate cement from the Indian Siwalik","10.1016/j.palaeo.2005.06.007"
"17","Munsi_2010_JOOFTHINSOOFRESE","JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING",2010,"Landscape Characterisation of the Forests of Himalayan Foothills","10.1007/s12524-010-0046-2"
"18","Munsi_2012_RegiEnviChan","Regional Environmental Change",2012,"Modeling spatio-temporal change patterns of forest cover: A case study from the Himalayan foothills (India)","10.1007/s10113-011-0272-3"
"19","Padalia_2013_INJOOFRESE","INTERNATIONAL JOURNAL OF REMOTE SENSING",2013,"Mapping sub-pixel occurrence of an alien invasive Hyptis suaveolens (L.) Poit. using spectral unmixing technique","10.1080/01431161.2012.714003"
"20","Rawat_1999_TropEcol","Tropical Ecology",1999,"Woody vegetation of Shivaliks and outer Himalaya in north western India",NA
