"x","label","type","author","title","journal","year","volume","url","abstract","publisher","language","keywords","issn","doi","issue","address","edition","editor","pages","citation","screened_titles","notes","screened_abstracts"
6,"Adhikari_2021_GloEcoandCon","ARTICLE","Adhikari, Y.P. and Hoffmann, S. and Kunwar, R.M. and Bobrowski, M. and Jentsch, A. and Beierkuhnlein, C.","Vascular epiphyte diversity and host tree architecture in two forest management types in the Himalaya","Global Ecology and Conservation",2021,"27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103055821&doi=10.1016%2fj.gecco.2021.e01544&partnerID=40&md5=fbea4523bd950fc1829a5c908bc311a8","Epiphytes are one of the most diversified plant life forms, whose species richness peaks in the tropics and subtropics. Here we examined vertical distribution metrics (i.e., number of epiphyte individuals and epiphyte species richness) of vascular epiphytes (i.e., orchids and ferns) on two dominant host trees (i.e., Schima wallichii (DC.) Korth. and Quercus lanata Sm.) in sub-tropical forests of Nepal. We sampled a total number of 72 host trees of Q. lanata and S. wallichii from two forest sites: a government protected national park forest and community managed forest. We applied generalized linear mixed models and Kruskal-Wallis rank sum tests to explain epiphyte diversity by tree architecture (i.e., diameter at breast height, tree height, crown size, number of forks, bark rugosity, bark pH and tree layer), host species and forest management types. After variable selection via multi-model inference technique, we found diameter at breast height to be the most powerful and significant explanatory variable for the number of epiphyte individuals and epiphyte species richness across host tree species, tree layers, and forest management types. Interestingly, epiphyte diversity was on average higher in the community managed forest than in the national park forest, on S. wallichii than on Q. lanata and particularly on the trunk below forks. We conclude that effective conservation of epiphyte diversity in the Nepal Himalaya requires conservation of old-growth host trees through community approaches. If large and old tree stands are maintained, community managed forests can host high diversity of vascular epiphytes and provide ecosystem goods to local people alike. 2021 The Author(s)","Elsevier B.V.","English",NA,"23519894","10.1016/j.gecco.2021.e01544",NA,NA,NA,NA,NA,"Vascular Epiphyte Diversity and Host Tree Architecture in Two Forest Management Types in the Himalaya.","selected",NA,"excluded"
7,"Kumar_2021_EcolIndi","ARTICLE","Kumar, M. and Kalra, N. and Singh, H. and Sharma, S. and Singh Rawat, P. and Kumar Singh, R. and Kumar Gupta, A. and Kumar, P. and Ravindranath, N.H.","Indicator-based vulnerability assessment of forest ecosystem in the Indian Western Himalayas: An analytical hierarchy process integrated approach","Ecological Indicators",2021,"125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102446077&doi=10.1016%2fj.ecolind.2021.107568&partnerID=40&md5=c693fc421e0aa29c7be18d9c3e86ff2f","Understanding the vulnerability of forests and its associated factors is crucial for the sustainable management of forested landscapes. The assessment of vulnerability of forests in the Indian Western Himalayan (IWH) region comprising the states of Jammu & Kashmir (J&K), Himachal Pradesh (HP) and Uttarakhand (UK) was done using six indicators of vulnerability in the form of biological richness index, disturbance index, forest canopy density, fire point intensity and forest extraction intensity of fringe forests. We express this assessment as the indicator-based vulnerability. The indicators were allocated weights by multi criteria analysis using analytical hierarchy process. The spatial extent of all of the selected indicators was mapped for the IWH region at a pixel resolution of 24 m and was integrated to find out the vulnerability for each pixel in a GIS environment. The study area was divided into 172 grids of size 0.5, equivalent to the grid size of available climatic projections, out of which 67 grids were identified as the forest grids. The grids that have at least 5% forest cover were designated as the forest grids and the vulnerability assessment was done only for these grids. The final representation of vulnerability across forested grids of the IWH was done at a spatial resolution of 5' and 0.5 to categorise as low, medium, high and very high class. It was observed that the highest concentration of very high and high vulnerable grids of 5' size lies in the state of UK, comprising 32 and 31%, respectively. The aggregated values at 0.5 indicate that most of the grids of UK fall under very high vulnerability except for the few uppermost and lowermost grids falling under other categories. In J&K, most of the 5' grids fall under low vulnerability (41%), while medium, high and very high categories are 27, 25 and 7%, respectively. Similarly, out of total 28 grids of size 0.5, only one grid is categorized as very high vulnerable, while 11 grids fall under high vulnerability. In HP, none of the grids of either size is categorized as very high vulnerable. It was observed that most of the high and very high vulnerable grids in the IWH are in the lower altitudes while higher altitudes have lesser magnitude of vulnerability. Forests occurring at a higher elevation such as the Alpine forests (dry, moist and sub-alpine) is the least vulnerable forests compared to other forest type groups of the IWH. 2021 The Authors","Elsevier B.V.","English","Deforestation;  Ecosystems;  Extraction;  Fires;  Image resolution;  Pixels;  Sustainable development, Analytical Hierarchy Process;  Disturbance index;  Forest ecosystem;  Forest fires;  Forest resource extraction;  Integrated approach;  Sustainable management;  Vulnerability;  Vulnerability assessments;  Western himalayas, Climate change, alpine environment;  analytical hierarchy process;  environmental disturbance;  forest canopy;  forest cover;  forest ecosystem;  GIS;  pixel;  spatial resolution;  vulnerability, Himachal Pradesh;  Himalayas;  India;  Jammu and Kashmir;  Uttarakhand, Indicator indicator","1470160X","10.1016/j.ecolind.2021.107568",NA,NA,NA,NA,NA,"Indicator-Based Vulnerability Assessment of Forest Ecosystem in the Indian Western Himalayas: An Analytical Hierarchy Process Integrated Approach.","selected",NA,"selected"
8,"Purohit_2021_TropEcol","ARTICLE","Purohit, S. and Aggarwal, S.P. and Patel, N.R.","Estimation of forest aboveground biomass using combination of Landsat 8 and Sentinel-1A data with random forest regression algorithm in Himalayan Foothills","Tropical Ecology",2021,"62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101485946&doi=10.1007%2fs42965-021-00140-x&partnerID=40&md5=4ff9c794ac9562c15b6d752709471782","Forest aboveground biomass (AGB) plays an indispensable role in the terrestrial carbon cycle and its dynamics. It also provides baseline data for developing sustainable management strategies in the region. In the present study, a decision-tree based random forest (RF) algorithm was used to estimate AGB for the different forest types in Doon valley, situated in the Himalayan foothills of India. Fifty-one spectral and textural variables were initially extracted using Landsat 8 Operational Land Imager and Sentinel-1A, which were further reduced to twenty optimum variables using the recursive feature elimination (RFE) method. These optimum variables were finally used to map AGB. Results showed that the spatial distribution of AGB ranged from 46.36 to 596.15Mgha1 with good correlation (R2 = 0.87, RMSEr = 18.7%, RMSE = 62.56Mgha1) between the observed and predicted AGB. This study validated the synergistic use of remote sensing, field data, and RF algorithm to precisely predict the spatial distribution of AGB. 2021, International Society for Tropical Ecology.","Springer","English","aboveground biomass;  algorithm;  carbon cycle;  estimation method;  Landsat;  management practice;  satellite data;  Sentinel;  spatial distribution;  strategic approach;  sustainable development, Himalayas;  India","05643295","10.1007/s42965-021-00140-x","2",NA,NA,NA,"288-300","Estimation of Forest Aboveground Biomass using Combination of Landsat 8 and Sentinel-1a Data with Random Forest Regression Algorithm in Himalayan Foothills.","selected",NA,"selected"
18,"Kohli_2021_JoofApEc","ARTICLE","Kohli, M. and Mijiddorj, T.N. and Suryawanshi, K.R. and Mishra, C. and Boldgiv, B. and Sankaran, M.","Grazing and climate change have site-dependent interactive effects on vegetation in Asian montane rangelands","Journal of Applied Ecology",2021,"58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096646605&doi=10.1111%2f1365-2664.13781&partnerID=40&md5=dcb89d8b06b7e04b0339e2cc75afb424","Climate over Asian montane rangelands is changing faster than the global average, posing serious threats to the future of the region's livestock-based economies and cultures. Effects of climate change on rangeland vegetation likely depend on grazing by herbivores but the potential responses of vegetation to such changes in climate and grazing regimes remain unclear. We examined vegetation responses to experimentally simulated climate change (warming, drought and increased rainfall) and grazing (clipping vegetation) between 2015 and 2018 at two mountain rangeland sites: Spiti valley, in the Indian Trans-Himalaya and Tost, in the Gobi-Altai Mountains in Mongolia. Clipping and climate change manipulations interactively reduced vegetation cover and biomass but did not affect species richness. Treatment effects and their interactions varied between sites. In ungrazed plots, vegetation cover and biomass declined sharply in response to warming (18%35%) and drought (20%50%) at the two sites, and, surprisingly also declined slightly in response to increased rainfall (20%) at Tost. While the effects of climate treatments were largely similar in the grazed and ungrazed plots in Tost, they were larger in the ungrazed plots in Spiti. The decline in vegetation cover was driven by a decline in the cover of both forbs and grasses. In combination, grazing and warming (Tost) or drought (Spiti) had sub-additive effects, that is, the decrease in vegetation cover in response to grazing and warming/drought was less than the sum of their independent effects but greater than the effect of either manipulation alone. Of the two, warming had a greater effect than drought at the more arid site (Tost), whereas drought had a larger effect at the more mesic site (Spiti). Synthesis and applications. Our findings show that future changes in climate, including just over 1C of warming, could undermine the sustainability of pastoral economies and the persistence of wildlife across Asian montane rangelands. Furthermore, grazing by herbivores will play an important role in mediating rangeland responses to climate change; thus, pasture management in concert with local pastoralists will be crucial in mitigating the adverse effects of climate change on rangelands, pastoral livelihoods and wildlife populations. 2020 British Ecological Society","Blackwell Publishing Ltd","English","biomass;  climate change;  detection method;  drought;  grazing;  herb;  mountain region;  rainfall;  rangeland;  sustainability;  vegetation cover;  vegetation type;  wild population, Altai Mountains, Poaceae","00218901","10.1111/1365-2664.13781","3",NA,NA,NA,"539-549","Grazing and Climate Change Have Site-Dependent Interactive Effects on Vegetation in Asian Montane Rangelands.","selected",NA,"excluded"
19,"Tariq_2021_Hydr","ARTICLE","Tariq, M.A.U.R. and Wangchuk, K. and Muttil, N.","A critical review of water resources and their management in Bhutan","Hydrology",2021,"8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102902018&doi=10.3390%2fhydrology8010031&partnerID=40&md5=3ccdb07b021f3fdc5a7530bf4bf2518c","Bhutan is a small yet water-abundant country. The country suffers from frequent flooding and is lately experiencing a growing risk of localized droughts due to inappropriate water resource management and climate change. Such a situation calls for much more efficient use and management of water in Bhutan. This paper undertakes an extensive analysis of the countrys water resources for better planning and management of the available water resources. Bhutan can be divided into three zones, the Southern Foothills, the Central Inner Himalayas, and the Higher Himalayas. The top four leading industries of Bhutan are related to water, either directly or indirectly. The country at present is at a very early stage of development. The government has prioritized water resources management over recent years. Water for hydropower in Bhutan has been in focus as compared to that allocated for irrigation, industries, and environmental demand. The demand for water in Bhutan has also increased in the last decade due to population increase, changes in lifestyle, and economic advancements through tourism and hydropower projects. Climate variation, deteriorating water quality, frequent floods, and increasing urbanization threaten the sustainability of water resources. Water accessibility issues for settlements due to the countrys harsh geographical landscape is leading towards localized water scarcity. Serious attention to rainwater harvesting and groundwater recharge is required to address localized water scarcity issues. 2021 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG","English",NA,"23065338","10.3390/hydrology8010031","1",NA,NA,NA,NA,"a Critical Review of Water Resources and their Management in Bhutan.","unknown",NA,"excluded"
22,"Kaur_2021_Sust.Swi","ARTICLE","Kaur, T. and Sehgal, S.K. and Singh, S. and Sharma, S. and Dhaliwal, S.S. and Sharma, V.","Assessment of seasonal variability in soil nutrients and its impact on soil quality under different land use systems of lower shiwalik foothills of himalaya, india","Sustainability (Switzerland)",2021,"13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100294652&doi=10.3390%2fsu13031398&partnerID=40&md5=8edb94008bc81ee14c2f220cd33299ee","The present study was conducted to investigate the seasonal effects of five land use systems (LUSs), i.e., wheatrice (Triticum aestivumOryza sativa) system, sugarcane (Saccharum officinarum), orange (Citrus sinensis) orchard, safeda (Eucalyptus globules) forest, and grassland, on soil quality and nutrient status in the lower Satluj basin of the Shiwalik foothills Himalaya, India. Samples were analyzed for assessment of physico-chemical properties at four soil depths, viz., 015, 1530, 3045, and 4560 cm. A total of 120 soil samples were collected in both the seasons. Soil texture was found to be sandy loam and slightly alkaline in nature. The relative trend of soil organic carbon (SOC), macro-and micro-nutrient content for the five LUSs was forest > orchard > grassland > wheatrice > sugarcane, in the pre-and post-monsoon seasons. SOC was highly correlated with macronutrients and micronutrients, whereas SOC was negatively correlated with soil pH (r = 0.818). The surface soil layer (015 cm) had a significantly higher content of SOC, and macro-and micro-nutrients compared to the sub-surface soil layers, due to the presence of more organic content in the soil surface layer. Tukeys multiple comparison test was applied to assess significant difference (p <0.05) among the five LUSs at four soil depths in both the seasons. Principle component analysis (PCA) identified that SOC and electrical conductivity (EC) were the most contributing soil indicators among the different land use systems, and that the post-monsoon season had better soil quality compared to the pre-monsoon season. These indicators helped in the assessment of soil health and fertility, and to monitor degraded agroecosystems for future soil conservation. 2021 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG","English","agricultural ecosystem;  assessment method;  crop plant;  land use;  organic carbon;  physicochemical property;  sandy loam;  seasonal variation;  soil carbon;  soil nutrient;  soil quality;  soil texture;  trace element, Himalayas;  India, Citrus sinensis;  Eucalyptus;  Oryza sativa;  Saccharum officinarum;  Triticum;  Varanidae","20711050","10.3390/su13031398","3",NA,NA,NA,"1-16","Assessment of Seasonal Variability in Soil Nutrients and Its Impact on Soil Quality under Different Land Use Systems of Lower Shiwalik Foothills of Himalaya, India.","selected",NA,"selected"
23,"Watham_2021_EnvMonandAss","ARTICLE","Watham, T. and Padalia, H. and Srinet, R. and Nandy, S. and Verma, P.A. and Chauhan, P.","Seasonal dynamics and impact factors of atmospheric CO2 concentration over subtropical forest canopies: observation from eddy covariance tower and OCO-2 satellite in Northwest Himalaya, India","Environmental Monitoring and Assessment",2021,"193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100420450&doi=10.1007%2fs10661-021-08896-4&partnerID=40&md5=f8b8d01c9effbe401a73d1054d1cb54e","Carbon dioxide (CO2) is the key atmospheric gas that controls the earths greenhouse effect, and forests play a major role in abating the atmospheric CO2 by storing carbon as biomass. Therefore, it is vital to understand the role of different forests in regulating the spatiotemporal dynamics of atmospheric CO2 concentration. In this study, we have used eddy covariance (EC) tower-based atmospheric CO2 concentration measurements and satellite-retrieved column average CO2 concentration of 2018 to understand the diurnal and seasonal dynamics of atmospheric CO2 concentration over the sub-tropical forest in the foothills of northwest Himalaya, Uttarakhand, India. EC study revealed that the CO2 concentration over the forest canopy peaks during mid-night to early morning and drop to a minimum during the afternoon. On a monthly scale, peak atmospheric CO2 concentration was observed during July in both the sites, which was a result of more release of CO2 by the forest ecosystem through ecosystem respiration and microbial decomposition. Enhanced photosynthetic activities during the late monsoon and post-monsoon resulted in the decrease of atmospheric CO2 concentration over the forest ecosystem. Among the meteorological variables, rainfall was found to have the highest control over the seasonal variability of the atmospheric CO2 concentration. Orbiting Carbon Observatory-2 (OCO-2) satellite-retrieved column average CO2 (XCO2) was also examined to comprehend its reliability on an ecosystem scale. The OCO-2 retrieved XCO2 value was higher than the EC carbon flux tower-measured atmospheric CO2 concentration, which might be due to differences in the vertical resolution of the CO2 column and scale difference. However, the monthly atmospheric XCO2 retrieved from OCO-2 strongly adheres with the ground-measured monthly pattern. Our study highlights that forests with varying functional traits within the same climatic conditions show variability in the regulation of atmospheric CO2 concentration. 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG part of Springer Nature.","Springer Science and Business Media Deutschland GmbH","English","Atmospheric thermodynamics;  Dynamics;  Ecosystems;  Forestry;  Greenhouse effect;  Orbits;  Satellites;  Tropics, Ecosystem respiration;  Eddy covariance towers;  Meteorological variables;  Microbial decomposition;  Photosynthetic activity;  Seasonal variability;  Spatio-temporal dynamics;  Subtropical forests, Carbon dioxide, atmospheric pollution;  broad-leaved forest;  carbon cycle;  carbon dioxide;  concentration (composition);  deciduous forest;  eddy covariance;  forest canopy;  greenhouse gas;  NDVI;  seasonal variation;  subtropical region, Himalayas;  India, carbon dioxide, ecosystem;  environmental monitoring;  forest;  India;  reproducibility;  season, Carbon Dioxide;  Ecosystem;  Environmental Monitoring;  Forests;  India;  Reproducibility of Results;  Seasons","01676369","10.1007/s10661-021-08896-4","2",NA,NA,NA,NA,"Seasonal Dynamics and Impact Factors of Atmospheric Co2 Concentration over Subtropical Forest Canopies: Observation from Eddy Covariance Tower and Oco-2 Satellite in Northwest Himalaya, India.","selected",NA,"selected"
29,"Zhu_2021_GlobChanBiol","ARTICLE","Zhu, D. and Wu, N. and Bhattarai, N. and Oli, K.P. and Chen, H. and Rawat, G.S. and Rashid, I. and Dhakal, M. and Joshi, S. and Tian, J. and Zhu, Q. and Chaudhary, S. and Tshering, K.","Methane emissions respond to soil temperature in convergent patterns but divergent sensitivities across wetlands along altitude","Global Change Biology",2021,"27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097396158&doi=10.1111%2fgcb.15454&partnerID=40&md5=7e6297f434bb494c87b56adcfc596701","Among the global coordinated patterns in soil temperature and methane emission from wetlands, a declining trend of optimal soil temperature for methane emissions from low to high latitudes has been witnessed, while the corresponding trend along the altitudinal gradient has not yet been investigated. We therefore selected two natural wetlands located at contrasting climatic zones from foothill and mountainside of Nepal Himalayas, to test: (1) whether the optimal temperature for methane emissions decreases from low to high altitude, and (2) whether there is a difference in temperature sensitivity of methane emissions from those wetlands. We found significant spatial and temporal variation of methane emissions between the two wetlands and seasons. Soil temperature was the dominant driver for seasonal variation in methane emissions from both wetlands, though its effect was perplexed by the level of standing water, aquatic plants, and dissolved organic carbon, particularly in the deep water area. When integrative comparison was conducted by adding the existing data from wetlands of diverse altitudes, and the latitude-for-altitude effect was taken into account, we found the baseline soil temperatures decrease whilst the altitude rises with respect to a rapid increase in methane emission from all wetlands, however, remarkably higher sensitivity of methane emissions to soil temperature (apparent Q10) was found in mid-altitude wetland. We provide the first evidence of an apparent decline in optimal temperature for methane emissions with increasing elevation. These findings suggest a convergent pattern of methane emissions with respect to seasonal temperature shifts from wetlands along altitudinal gradient, while a divergent pattern in temperature sensitivities exhibits a single peak in mid-altitude. 2020 John Wiley & Sons Ltd","Blackwell Publishing Ltd","English","methane;  seasonal variation;  soil emission;  soil temperature;  spatial variation;  temporal variation;  wetland, Himalayas;  Nepal","13541013","10.1111/gcb.15454","4",NA,NA,NA,"941-955","Methane Emissions Respond to Soil Temperature in Convergent Patterns but Divergent Sensitivities Across Wetlands along Altitude.","unknown",NA,"excluded"
37,"Bhattarai_2021_AdinAsHuRe","ARTICLE","Bhattarai, K. and Conway, D.","Forestry and Environment","Advances in Asian Human-Environmental Research",2021,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096798172&doi=10.1007%2f978-3-030-50168-6_8&partnerID=40&md5=8383eaf9faeb51c58e07f7a2afe9c7f1","There have been growing concerns in Nepal and other South Asian less developed countries (LDCs) with the acceleration of global environment changes due to continuing increases in greenhouse gas emissions and accelerated deforestation rates. Available literature on forestrys dilemmas reveals that, except for the extreme temperature, moisture, and nutrient deficient situations, vegetation can (a) efficiently conserve elevated atmospheric carbon; (b) use the absorbed carbon in biomass production through the process of photosynthesis; and (c) if properly managed, can help to boost gross and net primary productivity of an ecosystem while mitigating global climate change. Within Nepal, conservationists, scientists, and administrators have expressed growing concerns about the rapid deterioration of the Himalayan environment because of deforestation, landslide increases, and large-scale downstream flooding. These processes are frequently linked together into a wide-ranging cause-and-effect drama of the Himalayan Degradation. Effective management of forest resources is considered one of the solutions to ameliorating environmental and land degradations. Recent Nepals government statistics show that Nepals total forest area has increased from 29 to 44%; however, forests are constantly facing new socio-environmental pressures from the growing population and from bulldozer-based development. Further complicating this issue, the statistics on Nepals forests have been disputed by various scholars. Nonetheless, through a set of policies, Nepal has been actively involved in the REDD+ (Reducing Emissions from Deforestation and Degradation, Plus Related Pro-forest Activities) programs since 2009 involving local communities to conserve and manage existing forests and creating new forest on non-forested lands through afforestation programs. If applied effectively, the full range of REDD+ activities can turn forests from a source of global warming emissions into a counteracting sink. REDD+s incentives in the form of carbon fund allocations and can act as a development catalyzer, involving many communities in greening the denuded lands of Nepal while also generating employment opportunities at local grass-root levels. Government agencies, many private organizations, religious institutions, and over 22,266 community forestry user groups have been involved in the management of Nepals forests, and their activities are contributing to the reduction of carbon emissions through forest conservation as well as deriving economic benefits to local communities. Though mountainous Nepal contributes merely 0.027% of the total global greenhouse gas emissions, it unwillingly exports top fertile soils along the rivers flowing down steep to very steep gradients. Sedimentation from Nepals Himalayan region often clogs rivers and canals along the Indo-Gangetic belt and causes massive floods in the Indian state of Bihar before draining into the Bay of Bengal. Participatory natural resource management and the ecosystem services concept proposed in this chapterwhich have been instrumental across many South Asian, European, and North American countries in claiming degraded lands and mutually benefitting the upstream and downstream communitiescould be instrumental in the restoration and management of degraded ecosystems in various parts of Nepal. We propose such a concept to solve the ongoing problems of land degradation of the Churia Range of Nepal. We have divided the entire Churia and corresponding Tarai-Madhesh regions into 91 watersheds and recast them as the operational service providing units (SPUs) for handling this deforestation dilemma. There are several sub-SPUs within SPUs, serving local communities. It is hoped that with the delineation of SPUs and sub-SPUs, it will be possible to make individual households living within the watersheds responsible for managing their lands and forest resources of their territories and creating an environment of communalism where both upstream and downstream communities will benefit in this win-win environmental scenario. The woodlots and vegetated areas that the households living within SPU and sub-SPUs manage will provide a wide range of ecosystem services to the downstream communities. In turn, the upstream communities will benefit from the downstream communities and REDD+s incentives programs while also ameliorating the global climate from carbon sequestration. The upstream communities benefit from grant money or development funds granted from the government. The government might increase nominal revenue on the farmlands of downstream communities for the regulated ecosystem services from upstream communities. Revenues paid to the government by the downstream communities can be redirected as the government grants money to upstream communities to further improve the ecosystem services to the downstream communities. Properly identifying, assessing, and valuing natural resources and ecosystem services within SPUs and sub-SPUs will help in the management of natural resources in various ways. One such approach proposed here is the prioritization of SPUs management options by assessing the trade-offs in ecosystem services and developing resilient communities who will eventually contribute to the sustainable management of available resources while contributing to the mitigation of global climate changes. Different computer-based models along with this chapter will help local communities to assess their benefits from each SPU or sub-SPU and change their course of actions in the future. 2021, Springer Nature Switzerland AG.","Springer Science and Business Media B.V.","English",NA,"18797180","10.1007/978-3-030-50168-6_8",NA,NA,NA,NA,"663-754","Forestry and Environment.","unknown",NA,"excluded"
39,"Habiba_2021_PLoONE","ARTICLE","Habiba, U. and Anwar, M. and Khatoon, R. and Hussain, M. and Khan, K.A. and Khalil, S. and Bano, S.A. and Hussain, A.","Feeding habits and habitat use of barking deer (Muntiacus vaginalis) in Himalayan foothills, Pakistan","PLoS ONE",2021,"16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099806114&doi=10.1371%2fjournal.pone.0245279&partnerID=40&md5=4680960d52dc28dd5ea6818dbbc44748","Northern red muntjac (Muntiacus vaginalis; barking deer) is a shy and small-sized cervid mammal, limited to the outer Himalayan foothill forests in Pakistan. Habitat characteristics were measured by locating direct and indirect signs. To quantify habitat utilization of barking deer, 80 field surveys were conducted in the study area along transects. 1200 Quadrats at 50 m intervals were deployed along these transect lines to determine microhabitat factors associated with seasonal distribution. The food composition of the barking deer was determined through fecal droppings analysis by micro-histological technique. Forty-five fecal samples of barking deer were collected from the study area (Murree-Kotli Sattian-Kahuta National Pak); summer (28) and winter (17). The micro-histological analysis revealed that more plant species are available in its habitat during the summer season (27) as compared to winter (19). Due to browsing nature barking deer mostly feed on trees in both seasons. While shrubs are slightly higher in winters. In summer barking deer consumed 10 Trees, 6 Shrubs, 5 Herbs, and 6 kinds of grass species. Dominant tree species were Phyllanthus emblica and Acacia modesta. Dominant shrub species were Ziziphus nummularia and Justicia adhatoda. In winter barking deer consumed 8 Trees, 7 Shrubs, 3 Herbs, and 1 Grass. Dominant tree species were Bauhinia variegata and Acacia modesta while shrubs included Ziziphus nummularia and Carissa opaca. 2021 Habiba et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Public Library of Science","English","article;  Bauhinia variegata;  feces;  feeding behavior;  field study;  food composition;  forest;  grass;  habitat use;  histology;  Justicia adhatoda;  major clinical study;  microhabitat;  muntjac;  nonhuman;  Pakistan;  Phyllanthus emblica;  quantitative analysis;  Senegalia modesta;  shrub;  summer;  winter;  Ziziphus","19326203","10.1371/journal.pone.0245279","1 January",NA,NA,NA,NA,"Feeding Habits and Habitat Use of Barking Deer (Muntiacus Vaginalis) in Himalayan Foothills, Pakistan.","unknown",NA,"excluded"
