,label,journal,year,screened_fulltext
1,Abbasi_2005_AcAgScSeB.SoanPlSc,Acta Agriculturae Scandinavica Section B: Soil and Plant Science,2005,excluded
2,Abbasi_2010_CoinSoScanPlAn,Communications in Soil Science and Plant Analysis,2010,excluded
3,Ahmad_2010_PaJoofBo,Pakistan Journal of Botany,2010,excluded
4,Ballabha_2013_ForSciandPra,Forest Science and Practice,2013,excluded
5,Basotra_2005_JoofSuAg,Journal of Sustainable Agriculture,2005,excluded
6,Behera_2015_EcolIndi,Ecological Indicators,2015,excluded
7,Behera_2017_EcolEngi,Ecological Engineering,2017,excluded
8,Bhardwaj_2016_EnvMonandAss,Environmental Monitoring and Assessment,2016,excluded
9,Bhattacharyya_2008_CATE,CATENA,2008,excluded
10,Biswas_2016_QuatScieRevi,Quaternary Science Reviews,2016,excluded
11,Brown_2011_TreeRese,Tree-Ring Research,2011,excluded
12,Dar_2009_InJoofBo,International Journal of Botany,2009,excluded
13,Dar_2014_JoofFoAganEn,"Journal of Food, Agriculture and Environment",2014,excluded
14,Dar_2020_BotaRevi,Botanical Review,2020,excluded
15,Dasila_2020_ApplSoilEcol,Applied Soil Ecology,2020,excluded
16,Deb_2008_TropEcol,Tropical Ecology,2008,excluded
17,Devi_2013_RanManandAgr,Range Management and Agroforestry,2013,excluded
18,Ghosh_2015_QuatScieRevi,Quaternary Science Reviews,2015,excluded
19,Ghosh_2017_QuatScieRevi,Quaternary Science Reviews,2017,excluded
20,Gogoi_2018_JoofMoSc,Journal of Mountain Science,2018,excluded
21,Hameed_2012_PaJoofBo,Pakistan Journal of Botany,2012,excluded
22,Joshi_2012_InJoofCoSc,International Journal of Conservation Science,2012,excluded
23,Kanawjia_2013_ForSciandPra,Forest Science and Practice,2013,excluded
24,Kaur_2021_Sust.Swi,Sustainability (Switzerland),2021,excluded
25,Khan_2015_PalaPalaPala,"Palaeogeography, Palaeoclimatology, Palaeoecology",2015,excluded
26,Khan_2016_ReofPaanPa,Review of Palaeobotany and Palynology,2016,excluded
27,Khan_2017_PlaSysandEvo,Plant Systematics and Evolution,2017,excluded
28,Khan_2018_PaJoofBo,Pakistan Journal of Botany,2018,excluded
29,Khan_2019_EcolIndi,Ecological Indicators,2019,excluded
30,Khan_2019_PalandPal,Palaeobiodiversity and Palaeoenvironments,2019,excluded
31,Kumar_2009_ChJoofEc,Chinese Journal of Ecology,2009,excluded
32,Kumar_2010_JoofFoRe,Journal of Forestry Research,2010,excluded
33,Maini_AROFAGANSOSC,ARCHIVES OF AGRONOMY AND SOIL SCIENCE,2020,excluded
34,Mehta_1994_T.IoIG,Transactions - Institute of Indian Geographers,1994,excluded
35,Mir_2015_Biod,Biodiversitas,2015,excluded
36,Mishra_2016_ClChGlReanVeDyinthHiCoToFuEaIn,"Climate Change, Glacier Response, and Vegetation Dynamics in the Himalaya: Contributions Toward Future Earth Initiatives",2016,excluded
37,More_2016_PLoONE,PLoS ONE,2016,excluded
38,Mungi_2018_BiolInva,Biological Invasions,2018,excluded
39,Murthy_2019_ForEcoandMan,Forest Ecology and Management,2019,excluded
40,Neha_2020_AgroSyst,Agroforestry Systems,2020,excluded
41,Pandey_2010_IndiSilk,Indian Silk,2010,excluded
42,Pandita_2019_EcolProc,Ecological Processes,2019,excluded
43,Panwar_2014_AGRO,AGROCHIMICA,2014,excluded
44,Phartyal_2003_SeeSciandTec,Seed Science and Technology,2003,excluded
45,Pokhriyal_1996_IndiFore,Indian Forester,1996,excluded
46,Prasad_2006_PhAnInJoofPlMo,Phytomorphology: An International Journal of Plant Morphology,2006,excluded
47,Prasad_2013_JoofEnBi,Journal of Environmental Biology,2013,excluded
48,Prasad_2017_JOOFTHPASOOFIN,JOURNAL OF THE PALAEONTOLOGICAL SOCIETY OF INDIA,2017,excluded
49,Proctor_1998_GloEcoandBioLet,Global Ecology and Biogeography Letters,1998,excluded
50,Purohit_2021_TropEcol,Tropical Ecology,2021,excluded
51,Rajwar_1991_NA,NA,1991,excluded
52,Rajwar_1993_GarHimecoandenv,Garhwal Himalaya: ecology and environment,1993,excluded
53,Ram_1997_IndiFore,Indian Forester,1997,excluded
54,ROUT_1989_ACTAOECOPLAN,ACTA OECOLOGICA-OECOLOGIA PLANTARUM,1989,excluded
55,Roy_2020_PalaPalaPala,"Palaeogeography, Palaeoclimatology, Palaeoecology",2020,excluded
56,Schweinfurth_1984_MR.D,Mountain Research & Development,1984,excluded
57,Shaheen_2015_PaJoofBo,Pakistan Journal of Botany,2015,excluded
58,Shaheen_2017_EuraSoilScie,Eurasian Soil Science,2017,excluded
59,Sharma_2020_AsJoofPlSc,Asian Journal of Plant Sciences,2020,excluded
60,Shehzad_2016_PLANDANI,PLANTA DANINHA,2016,excluded
61,Sheikh_2010_InJoofCoSc,International Journal of Conservation Science,2010,excluded
62,Sheikh_2012_FoStinCh,Forestry Studies in China,2012,excluded
63,Shukla_2012_JoofFoRe,Journal of Forestry Research,2012,excluded
64,Singh_1987_TheBotRev,The Botanical Review,1987,excluded
65,Singh_2001_IndiFore,Indian Forester,2001,excluded
66,Singh_2011_CATE,CATENA,2011,excluded
67,Singh_2016_TropEcol,Tropical Ecology,2016,excluded
68,Singh_2018_JOOFTHINSOOFRESE,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,2018,excluded
69,Singh_2020_PLoONE,PLoS ONE,2020,excluded
70,Thakur_2019_JoofThTa,Journal of Threatened Taxa,2019,excluded
71,Bajpai_2020_PotNAoSISB.BS,Proceedings of the National Academy of Sciences India Section B - Biological Sciences,2020,excluded
72,Mishra_JOOFTHINSOOFRESE,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,2020,selected
73,Bargali_1993_JoofVeSc,Journal of Vegetation Science,1993,selected
74,Lodhiyal_2003_ForEcoandMan,Forest Ecology and Management,2003,selected
75,Rana_1988_ProcPlanScie,Proceedings: Plant Sciences,1988,selected
76,Areendran_2017_TropEcol,Tropical Ecology,2017,selected
77,Singh_1995_Vege,Vegetatio,1995,selected
78,Joshi_2011_BioandCon,Biodiversity and Conservation,2011,selected
79,Singh_2020_InJoofEc,Indian Journal of Ecology,2020,selected
80,Kumar_2019_EnvMonandAss,Environmental Monitoring and Assessment,2019,selected
81,Sharma_2010_ForEcoandMan,Forest Ecology and Management,2010,selected
82,Kimothi_2010_INJOOFRESE,INTERNATIONAL JOURNAL OF REMOTE SENSING,2010,selected
83,Vasudeva_2021_INJOOFRESE,INTERNATIONAL JOURNAL OF REMOTE SENSING,2021,selected
84,Watham_2020_Biog,Biogeochemistry,2020,selected
85,Watham_2021_EnvMonandAss,Environmental Monitoring and Assessment,2021,selected
86,Mandal_2015_ForSciandTec,Forest Science and Technology,2015,selected
87,Sanyal_2005_PalaPalaPala,"Palaeogeography, Palaeoclimatology, Palaeoecology",2005,selected
88,Munsi_2010_JOOFTHINSOOFRESE,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,2010,selected
89,Munsi_2012_RegiEnviChan,Regional Environmental Change,2012,selected
90,Padalia_2013_INJOOFRESE,INTERNATIONAL JOURNAL OF REMOTE SENSING,2013,selected
91,Rawat_1999_TropEcol,Tropical Ecology,1999,selected
92,Sharma_2018_3B,3 Biotech,2018,selected
93,Bhat_2017_PlanArch,Plant Archives,2017,selected
94,Singh_2018_TROPECOL,TROPICAL ECOLOGY,2018,selected
95,Dinesh_2020_InJoofEc,Indian Journal of Ecology,2020,selected
96,Rout_1989_ProcPlanScie,Proceedings: Plant Sciences,1989,selected
97,ROUT_1990_FLOR,FLORA,1990,selected
98,ROUT_1990_FLOR_1,FLORA,1990,selected
99,Ghosh_2018_PalaPalaPala,"Palaeogeography, Palaeoclimatology, Palaeoecology",2018,selected
100,Sharma_2017_ModEarSysandEnv,Modeling Earth Systems and Environment,2017,selected
101,Bhatnagar_1993_ForEcoandMan,Forest Ecology and Management,1993,selected
102,Hussain_2019_CATE,CATENA,2019,selected
103,Gupta_2010_TropEcol,Tropical Ecology,2010,selected
104,Joshi_2012_JoofFoRe,Journal of Forestry Research,2012,selected
105,Lamsal_2018_Ambi,Ambio,2018,selected
106,Kumar_2021_EcolIndi,Ecological Indicators,2021,selected
107,Mishra_2015_ApplGeog,Applied Geography,2015,selected
108,Singh_2019_RanManandAgr,Range Management and Agroforestry,2019,selected
109,Srinet_2020_GeocInte,Geocarto International,2020,selected
110,Srinet_2020_INJOOFRESE,INTERNATIONAL JOURNAL OF REMOTE SENSING,2020,selected
111,Yang_2013_EcolEngi,Ecological Engineering,2013,selected
